loss,mae,val_loss,val_mae,learning_rate
0.29110187292099,0.3655317425727844,0.05750644952058792,0.1637718230485916,0.00043108928366564214
0.07165022194385529,0.19235511124134064,0.0467548668384552,0.1436670869588852,0.00043108928366564214
0.05563074350357056,0.16358265280723572,0.03699833154678345,0.12807315587997437,0.00043108928366564214
0.04734628647565842,0.14676986634731293,0.033175986260175705,0.11749738454818726,0.00043108928366564214
0.04205239191651344,0.1346680074930191,0.03084470145404339,0.10912974923849106,0.00043108928366564214
0.03864949196577072,0.12657657265663147,0.02959197387099266,0.10609512776136398,0.00043108928366564214
0.036070697009563446,0.12016561627388,0.02804914116859436,0.09796951711177826,0.00043108928366564214
0.03253970295190811,0.11157801002264023,0.024859022349119186,0.0917641893029213,0.00043108928366564214
0.029193971306085587,0.10355465859174728,0.021056918427348137,0.07987239956855774,0.00043108928366564214
0.02433188073337078,0.09285714477300644,0.016574373468756676,0.06990913301706314,0.00043108928366564214
0.020113922655582428,0.08460823446512222,0.013042767532169819,0.06420852988958359,0.00043108928366564214
0.01770964078605175,0.07935898005962372,0.0117510836571455,0.0629093125462532,0.00043108928366564214
0.015757106244564056,0.07509443163871765,0.011514696292579174,0.060033731162548065,0.00043108928366564214
0.014286949299275875,0.07139761745929718,0.010976795107126236,0.05682690441608429,0.00043108928366564214
0.013436857610940933,0.06877072155475616,0.010470524430274963,0.05589468777179718,0.00043108928366564214
0.012321414425969124,0.06608695536851883,0.01034078560769558,0.05406324565410614,0.00043108928366564214
0.011873455718159676,0.06476496905088425,0.010414717718958855,0.05302134528756142,0.00043108928366564214
0.010821077972650528,0.06172110512852669,0.00972742959856987,0.05063861608505249,0.00043108928366564214
0.010328899137675762,0.06022964045405388,0.009101785719394684,0.04891205579042435,0.00043108928366564214
0.010018817149102688,0.058992113918066025,0.008859713561832905,0.04773608595132828,0.00043108928366564214
0.009256594814360142,0.05623004585504532,0.009011080488562584,0.04667232185602188,0.00043108928366564214
0.008915150538086891,0.05498635396361351,0.009440367110073566,0.04697470739483833,0.00043108928366564214
